호선,역명,요일,비율
5,상일동,목,1.1570485111318198
5,상일동,수,1.1744018032818715
5,상일동,월,1.1387769956255487
5,상일동,일,0.4821836290703782
5,상일동,토,0.713073941552845
5,상일동,화,1.1616463141336613
5,서대문,금,1.2087816765615595
5,서대문,목,1.2515882629647022
5,서대문,수,1.264076382020556
5,서대문,월,1.2190674981627332
5,서대문,일,0.31108576966285384
5,서대문,토,0.48272589390043474
5,서대문,화,1.26267451672716
5,송정,금,1.1403813181408236
5,송정,목,1.104398757457214
5,송정,수,1.112199854088417
5,송정,월,1.0928705796742133
5,송정,일,0.5967534069192981
5,송정,토,0.8432950320334336
5,송정,화,1.1101010516866003
5,신금호,금,1.1728634082883576
5,신금호,목,1.1571506314572984
5,신금호,수,1.1658743804513643
5,신금호,월,1.116086117300477
5,신금호,일,0.5001565597329333
5,신금호,토,0.7301891194541685
5,신금호,화,1.1576797833154013
5,신길,금,1.1706272895852756
5,신길,목,1.1527642078520313
5,신길,수,1.1532294020091522
5,신길,월,1.1204393981871459
5,신길,일,0.5061748832386113
5,신길,토,0.750559873817835
5,신길,화,1.146204945309949
5,신정,금,1.162429251585478
5,신정,목,1.1509447492958835
5,신정,수,1.1645233741959435
5,신정,월,1.1282241823025345
5,신정,일,0.5022678869753516
5,신정,토,0.7407973754629655
5,신정,화,1.150813180181843
5,아차산,금,1.1100343962086272
5,아차산,목,1.0778201239978107
5,아차산,수,1.0786400471617936
5,아차산,월,1.0177288575934098
5,아차산,일,0.7164749564198712
5,아차산,토,0.930405634009918
5,아차산,화,1.0688959846085697
5,애오개,금,1.1930591653062121
5,애오개,목,1.1889422700786032
5,애오개,수,1.2054633841610414
5,애오개,월,1.1445283473546657
5,애오개,일,0.4313887620546648
5,애오개,토,0.6421371651905406
5,애오개,화,1.1944809058542731
5,양평,금,1.198612979876131
5,양평,목,1.1982892143429713
5,양평,수,1.2154385705097224
5,양평,월,1.1808303795460033
5,양평,일,0.40622225189891153
5,양평,토,0.5967778211675084
5,양평,화,1.2038287826587526
5,여의나루,금,1.1180100422861878
5,여의나루,목,0.9535274686233216
5,여의나루,수,0.971978778340869
